property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
ind-house,sector 24,3+,Relatively New,Class D,Low Floor,South-East,4,4,1080.0,0,1,2,2.6
flat,sector 86,2,New Property,Class D,Middle Floor,South-West,3,3,1690.0,0,0,1,0.9
flat,sector 67,3+,Relatively New,Class A,Low Floor,South-West,3,3,2047.0,0,0,0,2.78
flat,sector 102,2,Relatively New,Class C,Low Floor,East,2,2,1102.0,0,0,1,1.25
flat,sector 56,3,Moderately Old,Class B,Middle Floor,North,3,3,1910.0,0,0,0,1.38
flat,sector 84,3,Relatively New,Class D,High Floor,North-West,3,3,1834.0,1,0,0,1.5
ind-house,sector 26,2,Relatively New,Class B,Low Floor,North-East,6,8,4518.0,1,1,0,18.9
flat,sector 102,3,Relatively New,Class D,Middle Floor,West,3,3,1466.0,1,0,1,1.75
flat,sector 95a,2,New Property,Class D,Low Floor,East,2,2,632.0,0,0,0,0.45
flat,sector 103,3,Relatively New,Class B,Middle Floor,North-East,2,2,1250.0,0,0,0,1.15
flat,sector 69,1,Relatively New,Class C,Middle Floor,West,3,3,1394.0,0,0,1,1.38
ind-house,sector 57,3+,Old Property,Class C,Low Floor,North-East,6,6,2700.0,1,1,1,6.21
flat,sector 61,2,Under Construction,Class C,Low Floor,East,2,2,1333.0,0,0,1,1.47
flat,sector 51,3+,Moderately Old,Class A,Middle Floor,North,5,6,5200.0,1,1,0,3.55
flat,sector 79,2,Relatively New,Class B,Middle Floor,South-West,3,3,1364.0,0,0,1,1.35
flat,sector 52,3+,Moderately Old,Class D,Low Floor,East,5,5,5200.0,0,0,1,5.0
flat,sector 65,3,Under Construction,Class D,High Floor,East,3,3,2267.0,1,0,1,2.86
flat,sector 60,3,Relatively New,Class D,Middle Floor,North,4,4,2650.0,1,0,0,3.75
flat,sector 70,3,Relatively New,Class C,Middle Floor,North,3,4,1768.0,1,1,1,1.65
flat,sector 90,3,Relatively New,Class A,Middle Floor,East,2,2,1224.0,0,0,1,0.65
flat,sector 81,3+,Relatively New,Class B,High Floor,West,4,5,3808.0,1,0,0,4.0
ind-house,sector 57,3+,Moderately Old,Class A,Low Floor,East,4,3,1665.0,1,1,1,3.3
ind-house,sector 109,2,Relatively New,Class B,Low Floor,South-East,4,4,4800.0,1,0,1,5.75
flat,sector 103,3+,Relatively New,Class D,Middle Floor,North-East,3,3,1300.0,0,0,1,1.32
flat,sector 102,3,Relatively New,Class D,Middle Floor,West,3,3,1496.0,1,0,0,1.39
flat,sector 109,3+,New Property,Class C,Middle Floor,East,3,4,2344.0,1,0,1,2.3
flat,sector 102,3,Relatively New,Class C,Middle Floor,North-East,3,3,1390.0,1,0,1,1.3
flat,sector 102,2,New Property,Class D,Middle Floor,North-East,2,2,1167.0,0,0,0,1.4
flat,sohna road,1,Relatively New,Class C,Middle Floor,North-East,2,2,681.0,0,0,0,0.25
ind-house,sector 82,2,New Property,Class C,Low Floor,North-West,3,3,1700.0,0,0,1,1.4
flat,sector 89,2,New Property,Class C,Low Floor,West,2,2,1226.0,0,1,1,1.1
flat,sector 37d,2,Under Construction,Class D,Low Floor,North-West,3,3,778.0,0,0,1,0.5
flat,sector 31,2,Moderately Old,Class B,Low Floor,East,3,2,1450.0,0,0,2,1.2
flat,sector 93,2,Relatively New,Class C,Middle Floor,North-East,3,4,1350.0,0,0,0,1.25
flat,sector 45,2,New Property,Class D,Low Floor,North-West,3,3,196.0,1,0,0,2.4
flat,sector 102,2,Relatively New,Class A,Middle Floor,South-West,3,3,1496.0,1,0,1,1.45
flat,sector 81,3+,Relatively New,Class B,High Floor,West,3,4,1904.0,1,0,2,2.29
ind-house,sector 103,3+,Relatively New,Class D,Middle Floor,South,3,5,3534.0,0,0,1,2.25
flat,sector 69,3,Relatively New,Class D,High Floor,South-West,3,3,1643.0,0,0,1,2.07
flat,sector 28,2,Old Property,Class B,High Floor,North-East,3,3,1611.0,1,0,1,2.35
flat,sector 86,1,Relatively New,Class C,Middle Floor,West,3,3,1750.0,0,0,2,2.2
flat,sector 99,3+,New Property,Class B,Low Floor,South-West,4,4,3046.0,1,0,1,3.25
flat,sector 88a,3+,New Property,Class D,Middle Floor,North-East,3,3,1677.0,0,0,1,1.5
flat,sohna road,2,Relatively New,Class B,Low Floor,East,2,2,524.0,0,0,2,0.3
flat,sector 49,3,Moderately Old,Class C,Middle Floor,North-West,3,3,2006.0,1,0,1,1.9
flat,sector 92,2,Relatively New,Class C,Low Floor,North-East,3,2,1325.0,0,0,1,0.7
flat,sector 83,3+,Relatively New,Class C,Middle Floor,South-West,3,4,1667.0,1,0,0,1.8
flat,sector 50,3,Relatively New,Class B,Middle Floor,North-East,3,3,1898.0,0,0,0,2.5
flat,sector 108,3,Relatively New,Class C,Middle Floor,East,2,3,1163.0,0,0,1,0.93
flat,sector 110,3,Relatively New,Class A,Middle Floor,South-West,4,5,3083.0,1,0,1,3.7
flat,sector 82,2,Relatively New,Class D,Middle Floor,North-East,3,3,1589.0,0,0,1,1.12
flat,sector 56,3+,Old Property,Class A,Middle Floor,West,3,4,2200.0,0,0,0,2.1
flat,gwal pahari,3+,New Property,Class D,High Floor,North-East,4,4,4850.0,1,0,0,7.5
flat,sector 85,3+,Relatively New,Class A,High Floor,East,3,4,2398.0,1,0,0,1.99
flat,sector 47,3,Old Property,Class B,Low Floor,North-East,3,3,1908.0,0,0,0,1.65
flat,sector 83,3,Relatively New,Class A,Low Floor,West,3,3,1400.0,1,0,0,1.55
flat,sector 67a,2,New Property,Class A,Low Floor,North,3,3,1553.0,0,1,0,1.8
flat,sector 65,2,Under Construction,Class D,High Floor,South,2,2,1142.0,0,0,1,1.99
flat,sector 82,3,Relatively New,Class A,Low Floor,North,3,3,1800.0,0,0,0,1.28
flat,sector 109,3,Relatively New,Class A,Middle Floor,North-East,3,4,1860.0,1,0,1,2.2
flat,sector 67,3,Moderately Old,Class D,Middle Floor,North-East,3,3,2047.0,1,0,2,2.8
ind-house,sector 12,2,Old Property,Class D,Low Floor,North-East,4,6,1710.0,0,0,1,6.0
flat,sector 4,1,Relatively New,Class D,Low Floor,East,2,2,944.0,0,0,1,0.45
flat,sector 95,1,Relatively New,Class D,Middle Floor,East,1,1,3569.0,0,0,1,0.19
flat,sector 112,3+,Moderately Old,Class A,High Floor,North-East,4,6,3662.34,1,0,0,5.6
ind-house,sector 50,3,Old Property,Class C,Low Floor,West,4,4,3200.0,0,0,0,7.42
flat,sector 86,3,Relatively New,Class B,Middle Floor,North-West,3,4,1718.0,1,0,1,1.65
flat,sector 78,3,Moderately Old,Class D,Middle Floor,South,3,3,1973.0,1,0,1,1.15
flat,sector 74,3+,Relatively New,Class C,Middle Floor,North-West,2,2,1582.0,0,0,1,1.78
flat,sector 92,3,Under Construction,Class D,Low Floor,North-East,2,2,847.0,0,0,1,0.78
flat,sector 49,3,Relatively New,Class D,High Floor,West,3,3,2030.0,0,0,1,2.35
flat,sector 113,3+,Under Construction,Class D,Middle Floor,North,4,4,2553.0,1,0,1,2.9
flat,sector 91,3+,Relatively New,Class C,Middle Floor,South,4,4,2143.0,1,0,1,1.75
flat,sector 58,2,Relatively New,Class A,Middle Floor,North-East,3,4,2000.0,1,0,0,3.83
flat,sector 104,2,New Property,Class C,Middle Floor,North-East,3,2,848.0,0,0,1,0.65
flat,sector 5,1,Relatively New,Class D,Low Floor,East,2,2,750.0,0,0,1,0.3
flat,sector 86,3,Relatively New,Class D,High Floor,South,3,3,1715.0,1,0,0,1.3
ind-house,sector 50,2,Old Property,Class B,Low Floor,North-East,4,4,3400.0,1,0,1,7.0
ind-house,sohna road,3+,Old Property,Class D,Low Floor,West,1,4,535.0,0,0,1,1.2
flat,sector 83,3,Relatively New,Class A,Low Floor,North-West,3,3,1388.0,1,1,0,1.4
flat,sohna road,1,New Property,Class D,Middle Floor,East,2,2,590.0,0,0,1,0.45
flat,sector 92,1,Relatively New,Class D,Low Floor,North-East,3,3,580.0,0,0,1,0.5
flat,sector 48,1,Relatively New,Class C,Low Floor,North,3,3,1611.0,0,0,1,1.38
flat,sohna road,3,Relatively New,Class A,Low Floor,West,3,3,1599.0,0,0,1,0.91
ind-house,sector 92,3+,Relatively New,Class D,Low Floor,East,4,4,5000.0,0,0,1,2.75
flat,sector 77,3+,Relatively New,Class D,Middle Floor,North,3,4,1830.0,1,0,1,1.1
ind-house,sector 28,0,Relatively New,Class D,Low Floor,East,4,4,3240.0,0,0,1,4.5
flat,sector 65,3,New Property,Class D,High Floor,East,3,3,1828.0,0,0,1,3.29
ind-house,sector 24,3+,Old Property,Class D,Low Floor,East,8,5,540.0,0,0,1,1.6
flat,sector 102,3+,Relatively New,Class B,Middle Floor,North-East,3,4,1761.0,1,0,1,1.82
flat,sector 104,3+,Relatively New,Class B,Middle Floor,South,4,4,2856.0,1,0,1,2.6
flat,sector 22,2,New Property,Class D,Middle Floor,North-East,2,2,1285.0,0,0,1,1.99
flat,sector 37d,3,Under Construction,Class D,Low Floor,North-East,3,3,2283.0,0,0,1,1.25
flat,iffco chowk,3,Moderately Old,Class D,Low Floor,West,3,3,1190.0,0,0,1,1.6
ind-house,sector 11,3+,Moderately Old,Class D,Low Floor,South,2,4,900.0,0,0,1,0.9
flat,sector 70,3+,Moderately Old,Class B,Middle Floor,West,4,5,2116.0,1,0,0,2.1
flat,sector 86,3,Relatively New,Class A,High Floor,East,3,3,1700.0,0,0,0,1.59
ind-house,sector 5,2,Relatively New,Class D,Low Floor,North-East,3,4,900.0,0,0,1,1.0
flat,sector 107,2,Relatively New,Class D,Middle Floor,South,2,2,543.0,0,0,1,0.28
flat,sector 81,3+,New Property,Class A,Middle Floor,East,3,4,1897.0,1,0,2,2.3
flat,sector 83,3,Relatively New,Class C,Middle Floor,South,2,2,1300.0,0,0,0,0.98
flat,sector 69,3+,Relatively New,Class A,Middle Floor,North,4,6,2820.0,1,0,1,3.1
ind-house,sector 82a,3+,Relatively New,Class C,Middle Floor,East,5,6,5140.0,0,0,1,3.85
flat,sector 28,3+,Moderately Old,Class D,Middle Floor,East,4,5,3413.0,1,0,0,5.5
flat,sector 102,2,Relatively New,Class A,Middle Floor,North-East,2,2,742.0,0,0,1,0.97
ind-house,sector 26,3,Moderately Old,Class C,Low Floor,North-East,4,4,1800.0,1,0,1,5.5
flat,sector 88a,3+,Relatively New,Class C,Low Floor,North-West,3,3,1990.0,0,0,1,1.3
ind-house,sector 86,3+,Moderately Old,Class D,Low Floor,West,4,5,3194.0,1,0,0,2.5
flat,sector 102,3,Relatively New,Class C,Middle Floor,East,3,3,1852.0,0,0,1,2.12
flat,sector 70,2,Under Construction,Class D,Low Floor,East,3,3,1460.0,0,0,1,1.13
flat,sector 37d,3,Moderately Old,Class C,High Floor,North,2,2,1410.0,0,0,1,0.75
flat,sector 28,1,Old Property,Class C,Middle Floor,North-East,3,3,1242.0,0,0,0,2.0
flat,sohna road,2,Relatively New,Class D,Low Floor,North-East,2,2,602.0,0,0,1,0.38
flat,sector 86,1,Relatively New,Class C,Middle Floor,North-East,3,3,1749.0,0,0,1,1.6
flat,sector 78,2,Under Construction,Class B,High Floor,South,3,3,2813.0,1,0,1,4.75
flat,sector 106,3+,Relatively New,Class D,Low Floor,South,2,2,940.0,0,0,1,0.88
flat,sector 111,3+,Relatively New,Class A,Middle Floor,South-East,4,5,2650.0,1,0,0,3.7
ind-house,sector 31,3,Moderately Old,Class C,Low Floor,South-West,4,3,1449.0,0,1,0,3.5
flat,sector 81,3+,Relatively New,Class B,Middle Floor,North-West,3,4,2514.0,1,0,1,2.35
flat,sector 85,3,Relatively New,Class D,Middle Floor,South-East,2,2,1730.0,0,0,1,1.25
ind-house,palam vihar extension,1,Moderately Old,Class D,Low Floor,North,2,2,1125.0,0,1,1,0.65
flat,sector 103,0,Relatively New,Class C,Middle Floor,North,2,2,1450.0,0,0,1,0.8
ind-house,sector 5,0,Relatively New,Class D,Low Floor,South,2,2,130.0,0,0,1,0.75
flat,sector 72,3+,Relatively New,Class A,High Floor,North,4,5,2380.0,1,0,0,3.19
ind-house,sector 33,3,New Property,Class D,Low Floor,North-East,5,6,4950.0,1,0,1,10.0
flat,sector 102,3+,Relatively New,Class B,High Floor,South,3,4,1948.0,1,0,1,2.15
flat,sohna road,2,New Property,Class D,Low Floor,East,3,2,1080.0,0,0,1,0.85
ind-house,sector 108,3+,Relatively New,Class D,Low Floor,North-East,4,4,3000.0,0,0,1,1.7
ind-house,sector 26,3+,Old Property,Class D,Low Floor,South-West,3,5,1800.0,0,0,0,6.0
flat,sector 92,3,Moderately Old,Class C,Low Floor,North,4,3,1773.0,0,0,1,0.95
ind-house,sector 57,3+,Relatively New,Class A,Low Floor,North-East,5,5,5580.0,1,1,0,9.25
flat,sector 71,3,Moderately Old,Class C,Middle Floor,South-West,3,3,1580.0,1,0,0,1.16
flat,sector 84,3+,New Property,Class D,Middle Floor,West,3,3,1564.0,0,0,1,0.79
flat,sector 43,2,Old Property,Class D,Low Floor,North,3,3,1467.0,1,0,2,2.0
flat,sector 90,2,Relatively New,Class D,Middle Floor,North,2,3,1502.0,0,0,0,0.7
flat,sector 85,3,Relatively New,Class D,Middle Floor,North,4,4,2600.0,1,0,1,2.1
flat,sector 102,3,Relatively New,Class D,Middle Floor,North-East,3,3,1300.0,1,0,1,1.45
flat,sector 55,3+,Moderately Old,Class D,Middle Floor,North,4,3,2000.0,0,0,2,1.9
flat,sector 51,2,Old Property,Class D,Low Floor,South,1,1,459.0,0,0,1,0.3
flat,sector 108,3+,Relatively New,Class C,Middle Floor,East,3,3,2120.0,1,0,1,2.0
flat,sector 89,3,Under Construction,Class B,Low Floor,North-West,3,3,1423.0,0,0,1,1.33
flat,sector 86,1,Relatively New,Class B,Middle Floor,North,2,2,1233.0,0,0,1,0.67
flat,sector 77,3+,Relatively New,Class D,Low Floor,North-East,4,4,1800.0,1,0,2,1.55
flat,sector 79,3,Relatively New,Class D,Low Floor,North-East,3,3,2161.0,0,0,1,1.35
flat,sector 92,3,Relatively New,Class C,Middle Floor,North-West,3,3,1692.0,0,0,0,0.8
flat,sector 81,3+,New Property,Class A,Middle Floor,North,3,4,2412.0,1,0,0,2.4
flat,sector-33 sohna,3+,New Property,Class D,Middle Floor,East,3,2,1730.0,0,0,1,1.55
flat,sector 84,3,Relatively New,Class D,Middle Floor,North-East,2,2,1362.0,0,0,0,1.15
flat,sector 104,2,New Property,Class D,High Floor,East,3,2,1095.0,0,0,1,1.35
flat,sector 47,2,Relatively New,Class D,Low Floor,North-East,2,2,1108.0,0,0,0,1.05
flat,sector 81,0,Relatively New,Class D,Middle Floor,North-East,3,3,1780.0,0,0,1,0.9
flat,sector 65,3,Relatively New,Class D,Low Floor,West,3,3,1650.0,1,0,1,2.55
flat,sector 63a,0,Under Construction,Class D,Middle Floor,East,1,1,693.0,0,0,1,0.7
flat,sector 90,3+,Relatively New,Class D,Middle Floor,West,4,4,2008.0,0,0,0,2.05
flat,sector 81,1,Relatively New,Class C,Middle Floor,South-East,2,2,613.0,0,0,0,0.48
flat,sector 36 sohna,3,New Property,Class B,Low Floor,South,3,2,1122.0,0,0,1,1.0
flat,sector-33 sohna,3,Old Property,Class C,Low Floor,South,3,3,1622.0,0,0,1,1.79
flat,sector 70a,3,Relatively New,Class B,Low Floor,North-East,3,3,1949.0,0,1,0,2.3
flat,sector 82a,3+,Moderately Old,Class D,High Floor,East,4,4,2576.0,1,0,1,2.7
ind-house,sector 14,2,Old Property,Class C,Low Floor,North-West,5,4,2250.0,0,0,0,4.15
flat,sector 109,3+,Relatively New,Class A,Middle Floor,North-East,3,3,2307.0,1,0,1,1.7
ind-house,sector 50,2,Old Property,Class D,Low Floor,East,4,4,2160.0,1,0,1,7.0
flat,sector 48,3,Moderately Old,Class C,Middle Floor,North-East,3,4,4778.0,0,0,1,5.0
flat,sector 107,2,Relatively New,Class D,Middle Floor,South-East,3,2,717.0,0,0,1,0.5
flat,sector 89,2,New Property,Class D,Low Floor,South-West,2,2,1371.0,0,0,1,0.97
flat,sector 70,3,Relatively New,Class D,Middle Floor,East,3,5,1529.0,1,0,1,1.63
flat,sector 102,3,Relatively New,Class A,Middle Floor,East,3,3,2355.0,1,0,0,2.35
flat,sector 2,3+,Moderately Old,Class C,Middle Floor,South-West,3,3,1614.0,0,0,1,1.4
ind-house,sohna road,2,Moderately Old,Class D,Low Floor,North,2,1,900.0,0,0,1,0.5
flat,sector 108,3,Relatively New,Class D,High Floor,West,3,3,1460.0,0,0,1,2.45
flat,sector-33 sohna,3+,New Property,Class D,Low Floor,South,3,3,1442.0,0,0,1,2.15
flat,sector 70,3+,Moderately Old,Class B,Middle Floor,West,4,4,2667.0,1,0,1,2.35
ind-house,sector 4,1,Old Property,Class D,Low Floor,South-East,5,5,5067.0,1,0,0,4.75
flat,sector 90,2,Old Property,Class B,Middle Floor,East,2,2,1179.0,0,0,1,0.65
ind-house,sector 43,3+,Relatively New,Class D,Low Floor,North-East,5,5,2700.0,1,0,0,7.0
ind-house,sector 12,3+,Old Property,Class D,Low Floor,North-West,9,9,9000.0,0,0,1,6.0
ind-house,sector 12a,2,Moderately Old,Class D,Low Floor,South,6,6,2228.0,0,0,1,2.75
flat,sector 53,3,Old Property,Class D,Middle Floor,South-East,3,4,3222.0,1,0,0,5.0
flat,sector 67,3+,Moderately Old,Class C,Middle Floor,North-East,3,4,1766.0,1,0,0,2.32
flat,sector 54,3+,Moderately Old,Class B,Middle Floor,East,4,6,2455.0,1,0,0,6.75
flat,sector 109,3+,Relatively New,Class A,Middle Floor,East,3,3,2002.0,0,0,1,1.8
flat,sector 104,3+,Relatively New,Class A,High Floor,East,4,4,2511.0,1,0,1,2.55
ind-house,sector 43,3,Moderately Old,Class B,Low Floor,West,5,5,2700.0,1,0,0,8.5
flat,sector 81,3+,Relatively New,Class D,High Floor,East,3,3,1617.0,1,0,2,2.3
flat,sector 107,3,Moderately Old,Class B,Middle Floor,East,3,3,1714.0,0,0,0,1.21
flat,sector 109,3+,Relatively New,Class C,Middle Floor,North-West,3,3,1587.0,0,0,1,1.4
flat,sohna road,3,Relatively New,Class C,Low Floor,North,3,2,1210.0,0,0,1,0.87
flat,sector 61,2,New Property,Class D,Low Floor,North-West,2,2,1389.0,0,0,1,1.85
flat,sector 83,2,Moderately Old,Class C,Low Floor,South-West,3,2,1500.0,0,0,1,1.04
flat,sector 102,2,Relatively New,Class B,Middle Floor,North-East,2,2,1232.0,0,0,1,1.35
flat,sector 56,3+,Old Property,Class D,Low Floor,North,4,3,1900.0,0,0,0,1.59
flat,sector 86,3,Relatively New,Class C,Middle Floor,East,3,4,2072.0,1,0,1,1.93
flat,sector 85,3+,Relatively New,Class C,Low Floor,North-West,4,5,2549.0,0,0,1,1.85
flat,sector 113,3,New Property,Class A,Low Floor,North,3,3,2599.0,1,0,1,2.78
flat,sector 83,2,Relatively New,Class A,Middle Floor,South-West,3,3,1591.0,1,1,0,1.05
flat,sector 109,3+,Relatively New,Class A,Middle Floor,South-East,3,4,2100.0,1,0,0,2.1
flat,sohna road,1,Relatively New,Class C,Low Floor,East,1,1,386.0,0,0,1,0.25
flat,sector 85,3,Relatively New,Class D,Middle Floor,South-East,2,3,1550.0,0,0,1,1.17
flat,sector 85,3,Relatively New,Class D,Middle Floor,West,2,2,1730.0,0,0,1,1.24
ind-house,sector 28,3+,Moderately Old,Class C,Low Floor,North,6,7,3240.0,1,1,1,9.0
flat,sector 107,2,Relatively New,Class D,Middle Floor,North-East,3,2,717.0,0,0,1,0.5
ind-house,a block sushant lok phase 1,2,Relatively New,Class C,Low Floor,South-West,3,3,1935.0,0,0,0,2.55
flat,sector 56,3+,Old Property,Class A,Middle Floor,North,3,3,1800.0,1,0,1,1.55
flat,sector 109,2,Relatively New,Class A,Middle Floor,South,3,2,1704.0,0,0,1,1.2
flat,sector 2,0,Moderately Old,Class D,Low Floor,North-East,2,3,1000.0,0,0,1,1.0
flat,sector 5,1,Relatively New,Class D,Low Floor,North-East,1,1,648.0,0,0,1,0.26
ind-house,sector 49,2,Moderately Old,Class C,Low Floor,East,3,3,1900.0,0,1,1,2.5
flat,sector 79,3+,Relatively New,Class A,Middle Floor,North-East,3,4,2034.0,1,0,1,1.91
ind-house,sector 43,2,Under Construction,Class A,Low Floor,North,4,4,2430.0,1,1,2,5.75
flat,sector 85,3,New Property,Class C,Low Floor,North,3,5,2183.0,0,0,1,2.15
flat,sector 65,3,Relatively New,Class B,Low Floor,North-West,3,3,1833.0,1,0,0,2.0
ind-house,sector 26,2,Moderately Old,Class C,Low Floor,East,3,3,1350.0,1,0,1,4.5
flat,sector 84,3,Relatively New,Class C,Middle Floor,North,3,3,1836.0,0,0,1,0.89
flat,sector 37d,3,Relatively New,Class A,Middle Floor,South,3,3,1700.0,0,0,1,1.08
ind-house,sector 50,3+,New Property,Class B,Low Floor,North-East,4,5,4500.0,1,0,0,3.99
flat,sector 104,2,New Property,Class C,Low Floor,South-West,1,2,335.0,0,0,1,0.22
ind-house,sector 73,3,Relatively New,Class C,Low Floor,North-West,5,8,9000.0,1,1,2,17.0
flat,sector 81,3+,Relatively New,Class A,High Floor,South-East,3,4,2412.0,1,0,0,2.22
flat,sector 81,3+,Moderately Old,Class C,High Floor,East,4,4,2531.0,1,0,1,3.45
flat,sector 79,3,New Property,Class C,Middle Floor,East,2,2,81.0,0,0,1,1.1
ind-house,sector 17,0,Old Property,Class D,Low Floor,West,2,1,891.0,0,0,1,0.29
flat,sector 70,2,Under Construction,Class D,Middle Floor,North-West,2,2,993.0,0,0,1,0.53
flat,sector 108,3+,Relatively New,Class C,Low Floor,East,3,3,1338.29,1,0,0,1.68
flat,sector 1,3+,Moderately Old,Class D,Middle Floor,North-East,3,3,1949.0,1,0,1,0.85
flat,sector 65,3,Relatively New,Class B,Low Floor,North-West,4,4,1975.0,1,0,0,2.75
flat,sector 92,3+,Moderately Old,Class D,Low Floor,South-East,4,5,1720.0,1,0,1,0.95
flat,sector 65,3,Relatively New,Class B,Low Floor,East,4,4,1975.0,1,0,1,3.5
flat,sector 39,3,Old Property,Class D,Middle Floor,South-East,4,3,2611.0,1,0,2,1.5
flat,sector 107,3+,Relatively New,Class A,Middle Floor,East,3,4,2059.0,1,0,0,1.39
flat,sector 70,2,Relatively New,Class D,High Floor,North-East,3,4,1950.0,1,0,1,1.75
flat,sector 99a,1,New Property,Class D,Low Floor,South,2,2,577.0,0,0,1,0.32
flat,sector 89,3,New Property,Class C,Low Floor,North-East,2,2,1233.0,0,0,1,1.0
flat,sector 99a,3,New Property,Class C,Middle Floor,North-East,3,5,1739.0,1,0,1,1.32
flat,sector 108,3+,Relatively New,Class A,Middle Floor,North-East,4,4,2500.0,1,0,0,2.0
flat,new palam vihar,1,Relatively New,Class D,Low Floor,North-East,2,1,1000.0,0,0,1,0.28
ind-house,sector 14,2,Moderately Old,Class D,Low Floor,South-West,3,3,3249.0,0,0,1,5.51
ind-house,sector 48,3+,Relatively New,Class A,Low Floor,North-East,4,4,2160.0,1,1,0,8.25
flat,sohna road,1,Relatively New,Class C,Middle Floor,West,1,1,378.0,0,0,1,0.24
flat,sector 110,3,Relatively New,Class A,Middle Floor,South-West,4,5,3000.0,1,0,1,3.4
flat,sector 90,3+,Moderately Old,Class D,Middle Floor,South-West,4,4,2008.0,0,0,1,1.8
flat,sector 1a imt manesar,3+,Moderately Old,Class D,Middle Floor,East,3,3,1926.0,1,0,1,0.92
flat,sector 95,2,New Property,Class C,Middle Floor,East,3,2,812.0,0,0,0,0.55
flat,sector 90,3,Relatively New,Class A,Middle Floor,South-East,3,3,1640.0,0,0,1,1.25
flat,sector 85,3,Relatively New,Class D,Middle Floor,North-East,2,2,1487.0,0,0,1,1.05
flat,sector 86,3+,Relatively New,Class A,High Floor,North-West,3,3,1780.0,1,0,1,1.54
ind-house,sector 104,1,Moderately Old,Class D,Low Floor,North,4,3,1170.0,0,0,1,0.6
flat,sohna road,2,Relatively New,Class D,Middle Floor,East,2,2,789.0,0,0,2,0.45
flat,sector 107,3+,Relatively New,Class B,Low Floor,South-East,3,4,1839.0,1,0,1,1.8
flat,sector 77,3+,New Property,Class B,Middle Floor,South,3,4,1600.0,1,0,0,2.1
flat,sector 108,2,New Property,Class A,High Floor,East,3,3,1480.0,0,0,1,2.5
ind-house,sector 7,0,Old Property,Class D,Low Floor,East,2,2,126.0,0,0,1,1.0
ind-house,sector 11,0,Relatively New,Class D,Low Floor,North,2,2,450.0,0,0,1,0.24
flat,sector 56,3+,Moderately Old,Class B,Middle Floor,North,3,3,2135.0,0,0,0,1.65
flat,sector 66,2,Relatively New,Class A,Middle Floor,North-East,3,4,1850.0,1,0,0,1.9
ind-house,a block sushant lok phase 1,2,Old Property,Class D,Low Floor,West,5,5,3323.0,1,0,1,9.85
ind-house,sector 8,2,Moderately Old,Class D,Low Floor,North,2,2,585.0,0,0,1,0.59
flat,sector 70a,3,Relatively New,Class D,Middle Floor,South,3,3,1600.0,1,0,1,1.55
flat,sector 60,3,Relatively New,Class A,Middle Floor,South,4,5,2539.0,1,0,0,3.7
flat,sector 108,3,Relatively New,Class C,Middle Floor,North,3,3,2072.0,0,0,1,3.25
flat,sector 28,3,Old Property,Class B,Middle Floor,South-East,3,4,1700.0,1,0,0,2.35
flat,sector 77,2,New Property,Class C,High Floor,North,2,2,1217.0,0,0,0,0.86
flat,sector 50,3+,Moderately Old,Class A,Low Floor,South-East,3,3,2491.0,1,0,1,2.65
flat,sector 10a,2,Moderately Old,Class D,Middle Floor,North-East,6,4,3951.0,0,0,1,2.3
flat,sector 50,2,Relatively New,Class B,Middle Floor,East,3,3,1248.0,0,1,0,1.4
flat,sector 48,3,Moderately Old,Class A,Low Floor,North-West,3,3,1496.0,0,1,2,1.42
flat,sector 14,2,Old Property,Class C,Low Floor,North-West,5,5,2556.0,0,1,2,1.7
ind-house,sector 4,2,Old Property,Class D,Low Floor,East,4,4,1440.0,0,0,1,2.35
flat,sector 82a,3,Moderately Old,Class D,High Floor,East,3,3,1670.0,0,0,1,1.87
flat,sector 70a,3,Relatively New,Class D,Middle Floor,South-East,3,3,1791.0,1,0,1,1.51
flat,sector 103,3,Relatively New,Class A,Middle Floor,West,2,2,1340.0,0,1,0,1.01
ind-house,sector 49,2,Old Property,Class C,Low Floor,North,5,4,3420.0,1,1,1,6.75
flat,sector 109,3+,Relatively New,Class B,Middle Floor,North-East,3,3,1466.0,0,1,1,1.4
flat,sector 56,3,Old Property,Class C,Middle Floor,North,3,4,2278.0,1,0,1,1.85
flat,sector 95,0,Relatively New,Class D,Low Floor,West,2,2,759.0,0,0,1,0.27
flat,sector 79,2,Relatively New,Class B,Middle Floor,North-East,2,2,1333.0,0,0,0,1.3
flat,sector 91,3+,Relatively New,Class B,Low Floor,North-West,3,4,1788.0,1,0,1,1.5
flat,sector 89 a,1,New Property,Class C,Middle Floor,South-East,1,1,430.0,0,0,1,0.25
flat,sector 92,3,Relatively New,Class D,Middle Floor,South-West,3,3,1700.0,1,0,1,0.72
flat,sector 2,3,Moderately Old,Class C,Low Floor,North-East,2,2,1283.0,0,0,0,0.95
flat,sector 70,3,Relatively New,Class A,Middle Floor,West,3,5,2167.0,1,0,1,1.6
flat,sector 69,2,Relatively New,Class A,Middle Floor,South-West,4,4,1806.0,1,1,1,1.7
flat,sector 113,2,Under Construction,Class C,Middle Floor,West,3,3,1432.0,0,0,1,1.93
ind-house,sector 25,3,Old Property,Class C,Low Floor,North,5,5,2700.0,1,1,1,9.0
flat,sector 69,2,Relatively New,Class A,Middle Floor,South-West,4,4,1822.0,0,0,0,1.8
ind-house,sector 10a,2,Old Property,Class D,Low Floor,East,2,1,900.0,0,0,1,1.7
