property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
ind-house,sector 43,3,Moderately Old,Class A,Low Floor,West,8,8,3762.0,1,1,2,10.85
ind-house,sector 36,0,Moderately Old,Class D,Low Floor,West,3,1,1081.0,0,0,1,0.75
flat,sector 86,3,Relatively New,Class B,High Floor,South-West,3,4,1800.0,1,0,1,1.27
flat,sector 70a,2,Moderately Old,Class C,Middle Floor,West,3,2,2406.0,1,0,1,2.6
flat,sector 86,2,Relatively New,Class C,Middle Floor,East,2,2,668.0,0,0,0,0.44
flat,sector 90,3+,Relatively New,Class C,Low Floor,South-West,3,3,1500.0,0,0,1,1.27
flat,sector 60,3,Moderately Old,Class B,High Floor,East,4,5,2791.0,1,0,0,3.8
flat,sector 81,1,Relatively New,Class D,Middle Floor,South,2,2,586.0,0,0,1,0.4
flat,sector 112,3+,Relatively New,Class A,Middle Floor,North-East,4,6,3655.35,1,0,0,5.6
flat,sohna road,1,New Property,Class C,Low Floor,North,2,2,699.0,0,0,1,0.35
flat,sohna road,1,Relatively New,Class D,Low Floor,South,2,2,535.0,0,0,1,0.26
ind-house,sector 3,2,Old Property,Class D,Low Floor,West,4,2,1170.0,0,0,1,0.75
flat,sector 102,3,Relatively New,Class D,Middle Floor,North,3,3,1534.0,0,0,1,1.8
flat,sector 109,3,Relatively New,Class A,Middle Floor,North-East,4,4,2770.0,1,0,1,1.9
flat,sector 95,2,Relatively New,Class C,Middle Floor,East,2,2,1237.0,0,0,0,0.56
flat,sector 69,2,Relatively New,Class A,Middle Floor,North-East,3,3,1431.0,0,0,0,1.55
flat,sector 111,1,Relatively New,Class D,Middle Floor,North-West,1,1,450.0,0,0,1,0.36
flat,sohna road,1,New Property,Class D,Low Floor,North,2,2,699.0,0,0,1,0.34
flat,sector 99a,3,Under Construction,Class D,Middle Floor,South-East,3,3,1813.0,0,0,1,1.6
flat,sector 79,3+,New Property,Class C,High Floor,North,2,2,1281.0,0,0,1,0.71
flat,sector 107,1,Relatively New,Class C,Middle Floor,South,2,2,497.0,0,0,1,0.37
flat,sector 28,1,Old Property,Class C,Low Floor,North,2,1,1188.0,0,0,1,0.95
flat,sector 81,2,Relatively New,Class A,High Floor,West,3,3,1700.0,1,0,2,2.5
ind-house,sector 2,3+,Moderately Old,Class D,Low Floor,South-West,8,6,3240.0,1,1,1,5.6
ind-house,sector 17b,2,Old Property,Class D,Low Floor,North-West,4,4,4494.0,1,1,1,7.2
flat,sector 77,2,New Property,Class C,Low Floor,North-East,2,2,1489.0,0,0,1,1.0
flat,sector 83,3,New Property,Class D,Middle Floor,North,3,3,1163.0,0,0,0,0.75
